Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-8.8991,19.453,1,0,9.5,32.018,8.4872,23.538,81.986,-39.704,-77.048,89.608,-26.253,42.5,-1.1081
2,-4.4576,19.447,1,0,9.5,31.254,8.0459,22.544,82.168,-39.958,-76.082,89.596,-27.188,43.134,-2.6302
3,-11.443,19.434,1,0,9.5,32.912,9.3502,22.732,80.745,-38.644,-74.037,89.875,-25.411,43.213,-2.8107
4,1.103,19.414,1,0,9.5,34.388,11.345,24.882,81.853,-37.812,-74.59,87.457,-26.795,42.659,-4.108
5,-4.7579,19.388,1,0,9.5,34.755,12.251,23.889,82.042,-36.05,-76.185,86.508,-26.295,42.58,-5.1492
6,-3.3878,19.355,1,0,9.5,35.224,11.976,25.592,80.32,-36.215,-75.154,86.498,-26.153,43.136,-4.3065
7,2.9239,19.317,1,0,9.5,35.935,12.57,25.111,81.159,-37.713,-73.849,86.182,-26.932,42.479,-4.8883
8,-3.115,19.272,1,0,9.5,37.01,12.611,23.839,81.047,-37.663,-73.996,86.421,-26.576,42.329,-3.8811
9,2.3186,19.221,1,0,9.5,36.815,10.465,25.273,81.521,-36.976,-75.471,85.957,-26.929,42.924,-3.5768
10,15.097,19.165,1,0,9.5,37.738,10.047,24.716,81.515,-36.194,-75.749,85.139,-27.696,43.736,-3.7131
11,3.6198,19.103,1,0,9.5,38.933,11.056,26.585,80.548,-36.01,-75.502,85.215,-28.913,45.478,-6.0868
12,-1.9492,19.036,1,0,9.5,38.974,11.958,27.192,81.739,-32.612,-76.601,85.914,-31.218,46.407,-5.2849
13,9.8123,18.964,1,0,9.5,39.05,14.29,27.771,83.789,-31.309,-76.071,85.364,-31.886,46.503,-3.5808
14,10.221,18.887,1,0,9.5,38.622,16.234,28.365,82.041,-29.246,-76.58,85.677,-31.361,45.318,-5.275
15,-7.0121,18.805,1,0,9.5,39.192,16.727,28.454,81.977,-30.648,-77.715,85.213,-31.262,45.7,-4.8774
16,9.6042,18.719,1,0,9.5,38.669,15.945,28.526,81.447,-30.602,-76.532,85.617,-30.78,45.307,-4.5855
17,15.386,18.63,1,0,9.5,39.015,15.552,27.977,80.905,-29.319,-76.646,85.228,-31.797,43.382,-6.5441
18,24.323,18.537,1,0,9.5,38.737,16.398,27.23,80.338,-29.547,-76.965,86.139,-33.253,44.087,-7.3844
19,5.8634,18.441,1,0,9.5,38.217,15.88,28.605,80.453,-28.544,-76.315,85.54,-33.078,42.42,-7.1779
20,19.354,18.343,1,0,9.5,37.178,16.002,29.407,79.497,-27.005,-75.694,82.998,-33.186,42.437,-7.674
21,-1.0551,18.242,1,0,9.5,38.102,16.869,28.359,79.782,-27.104,-74.656,82.659,-33.92,42.726,-8.8228
22,12.483,18.14,1,0,9.5,37.486,16.315,27.753,78.315,-27.438,-74.065,81.76,-31.227,44.266,-8.5535
23,4.6854,18.036,1,0,9.5,36.743,17.735,28.621,77.621,-24.993,-72.943,81.226,-31.517,45.38,-8.7228
24,-9.0191,17.932,1,0,9.5,37.906,18.277,28.887,79.275,-24.168,-72.208,80.043,-31.228,45.999,-9.4254
25,23.991,17.828,1,0,9.5,37.72,17.56,29.763,77.466,-25.146,-72.101,78.818,-33.677,43.735,-10.225
26,-2.5915,17.724,1,0,9.5,37.036,17.179,28.14,76.178,-24.082,-71.836,76.241,-34.391,44.356,-9.0847
27,39.612,17.62,1,0,9.5,38.437,16.696,28.346,78.129,-24.951,-71.79,77.083,-31.917,44.053,-6.7477
28,34.877,17.519,1,0,9.5,35.96,17.663,30.263,77.719,-22.909,-72.676,75.359,-32.614,44.422,-7.1764
29,38.368,17.419,1,0,9.5,36.501,17.743,30.729,77.884,-22.197,-71.354,74.33,-31.916,43.351,-7.7275
30,51.31,17.322,1,0,9.5,35.535,16.113,31.838,76.393,-21.951,-71.717,74.029,-31.713,42.536,-9.8561
31,89.482,17.229,1,0,9.5,34.63,16.653,33.22,75.404,-22.995,-69.131,73.163,-30.367,41.499,-10.856
32,112.63,17.139,1,0,9.5,36.298,15.953,33.795,77.354,-23.232,-69.466,72.006,-31.866,40.693,-11.286
33,142.94,17.054,1,0,9.5,37.234,17.008,34.3,77.389,-22.429,-69.85,73.77,-31.163,38.87,-12.694
34,149.6,16.973,0,0,9.5,38.716,18.549,32.453,78.207,-23.176,-68.699,74.682,-34.265,38.359,-11.83
35,171.38,16.898,0,0,9.5,38.792,19.248,31.418,79.101,-22.037,-68.079,74.656,-34.165,38.882,-11.197
36,214.91,16.829,0,0,9.5,38.648,18.19,31.243,78.746,-21.262,-67.14,74.367,-35.358,42.151,-10.48
37,215.76,16.767,0,0,9.5,38.381,18.417,29.403,79.385,-21.922,-66.326,74.428,-34.843,41.666,-10.617
38,261.4,16.713,0,0,9.5,39.215,16.865,28.428,80.586,-21.213,-67.608,73.544,-34.158,42.307,-10.264
39,273.62,16.666,0,0,9.5,39.431,16.438,26.805,81.514,-22.579,-67.407,73.302,-34.739,41.19,-10.563
40,297.76,16.627,0,0,9.5,39.49,17.445,26.074,79.58,-21.697,-66.671,74.214,-35.107,43.318,-9.506
41,322.17,16.596,0,0,9.5,39.803,17.816,25.526,79.674,-22.214,-66.575,75.756,-36.627,44.617,-7.7682
42,344.81,16.575,0,0,9.5,38.995,16.404,27.15,79.787,-22.589,-64.756,77.534,-36.702,44.565,-7.1307
43,377.49,16.564,0,0,9.5,41.399,16.339,28.633,79.602,-22.158,-64.989,78.246,-36.861,43.845,-7.946
44,406.81,16.562,0,0,9.5,41.164,16.356,29.422,79.972,-20.608,-64.947,77.589,-37.971,44.059,-7.8837
45,446.76,16.571,0,0,9.5,40.877,16.667,29.833,79.623,-20.689,-64.591,76.528,-38.913,44.6,-8.439
46,459.49,16.59,0,0,9.5,41.49,17.158,31.77,78.131,-21.381,-63.775,76.928,-39.199,43.992,-6.9833
47,475.83,16.619,0,0,9.5,42.483,20.314,31.365,78.494,-21.069,-64.076,75.379,-40.231,44.845,-6.8931
48,492.8,16.66,0,0,9.5,43.032,22.236,29.928,78.704,-22.027,-63.654,76.155,-40.8,44.346,-7.4363
49,538.91,16.711,0,0,9.5,42.482,23.648,30.064,78.354,-20.943,-66.396,76.061,-40.835,44.289,-7.4766
50,548.09,16.773,0,0,9.5,40.084,23.297,30.44,77.947,-21.249,-65.664,77.466,-39.994,44.198,-6.7022
51,567.59,16.847,0,0,9.5,41.944,24.274,31.604,79.768,-21.905,-65.161,76.565,-40.862,43.74,-6.93
52,580.26,16.931,0,0,9.5,41.95,24.355,32.69,79.239,-22.265,-65.113,76.379,-40.035,45.145,-5.9489
53,639.9,17.026,0,0,9.5,42.297,24.058,32.696,80.188,-23.662,-63.173,76.075,-39.764,44.172,-5.9491
54,640.98,17.132,0,0,9.5,43.097,22.889,31.54,78.557,-23.667,-63.228,78.022,-38.447,44.689,-5.7062
55,672.58,17.248,0,0,9.5,43.172,25.307,33.056,77.929,-24.064,-62.287,78.236,-38.877,44.147,-6.6113
56,700.61,17.374,0,0,9.5,42.332,26.059,33.642,78.563,-23.764,-63.349,79.427,-38.335,44.079,-4.1162
57,710.02,17.511,0,0,9.5,44.08,26.754,33.065,77.078,-22.227,-61.454,78.679,-36.872,43.912,-6.8362
58,739.53,17.656,0,0,9.5,43.582,26.978,32.825,75.529,-22.249,-61.362,78.037,-36.291,43.112,-7.9167
59,779.29,17.81,0,0,9.5,43.701,27.788,32.695,75.291,-21.666,-61.781,77.976,-35.014,43.616,-7.4145
60,795.81,17.973,0,0,9.5,44.3,26.575,32.723,74.374,-22.455,-61.358,78.115,-35.173,43.863,-7.5885
61,804.42,18.143,0,0,9.5,42.77,26.549,33.268,76.198,-21.007,-61.634,78.846,-36.104,43.996,-7.1917
62,862.13,18.32,0,0,9.5,43.437,26.739,33.772,76.407,-22.27,-63.137,77.907,-37.398,44.611,-8.8164
63,850.44,18.504,0,0,9.5,43.741,26.503,32.235,76.12,-23.828,-63.867,79.079,-37.079,44.102,-9.7852
